Time, Wall_X, Displacement(σ), Left_Count, Right_Count, Packing_UNITLESS, Packing_ACTUAL_BOUND, Packing_ACTUAL_WITH_WALLBUFFER
0.131, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.133, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.134, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.136, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.138, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.139, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.141, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.142, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.144, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.146, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.147, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.149, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.150, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.152, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.154, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.155, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.157, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.158, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.160, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.162, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.163, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.165, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.166, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.168, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.170, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.171, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.173, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.174, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.176, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.178, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.179, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.181, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.182, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.184, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.186, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.187, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
