eta,N,L0,M,n_runs,nu_mean,nu_sd,c_s_mass
0.10,100,39.269909,50,10,0.007791937882,0.000146926,1.738737
0.10,100,39.269909,200,10,0.004764685826,7.97209e-05,1.752646
0.10,100,39.269909,500,10,0.00315695844,3.5214e-05,1.752646
0.10,100,39.269909,1000,10,0.002286692847,1.89794e-05,1.766555
0.10,100,39.269909,2000,10,0.001630261522,2.4289e-05,1.766553
0.10,400,78.539818,50,10,0.00509836195,0.000259112,1.776419
0.10,400,78.539818,200,10,0.003825215982,9.729e-05,1.730038
0.10,400,78.539818,500,10,0.002855062257,2.38219e-05,1.757864
0.10,400,78.539818,1000,10,0.002141176376,1.78654e-05,1.757864
0.10,400,78.539818,2000,10,0.001558120344,2.60699e-05,1.753225
0.10,900,117.809723,50,35,0.003561768082,9.71955e-05,1.756066
0.10,900,117.809723,200,35,0.003083411245,6.28777e-05,1.752090
0.10,900,117.809723,500,35,0.002498639624,3.75211e-05,1.754740
0.10,900,117.809723,1000,35,0.001980117604,3.61999e-05,1.756066
0.10,900,117.809723,2000,35,0.001497789667,1.90109e-05,1.760041
0.10,1600,157.079636,50,35,0.002722006802,5.55079e-05,1.752184
0.10,1600,157.079636,200,35,0.002486553179,5.60229e-05,1.744233
0.10,1600,157.079636,500,35,0.002153091263,2.80514e-05,1.745557
0.10,1600,157.079636,1000,35,0.001796590813,3.04892e-05,1.746883
0.10,1600,157.079636,2000,34,0.001412220837,2.65572e-05,1.750509
0.10,1600,157.079636,3200,10,0.001171364907,9.77356e-06,1.758147
0.10,2500,196.349548,50,10,0.002177146339,4.07025e-05,1.735010
0.10,2500,196.349548,200,10,0.002078862944,5.68e-05,1.753567
0.10,2500,196.349548,500,10,0.001877272086,5.1292e-05,1.753567
0.10,2500,196.349548,1000,10,0.001627747981,2.08562e-05,1.748926
0.10,2500,196.349548,2000,10,0.001333425572,1.99713e-05,1.758204
0.10,2500,196.349548,5000,10,0.0009309538329,1.19282e-05,1.748925
0.30,100,13.089969,50,10,0.04127039771,0.00119525,2.905225
0.30,100,13.089969,200,10,0.02471632616,0.000525795,2.868115
0.30,100,13.089969,500,10,0.01654559538,0.000312236,2.897747
0.30,100,13.089969,1000,10,0.0119509796,0.000205249,2.912564
0.30,100,13.089969,2000,10,0.008455192855,0.000177016,2.890318
0.30,400,26.179939,50,10,0.02552409677,0.000652491,2.886049
0.30,400,26.179939,200,10,0.01971406169,0.000532832,2.893439
0.30,400,26.179939,500,10,0.01448127326,0.000247543,2.893443
0.30,400,26.179939,1000,10,0.0108881802,0.000158072,2.900859
0.30,400,26.179939,2000,10,0.00796453875,8.56669e-05,2.908277
0.30,900,39.269909,50,35,0.01771650933,0.000526962,2.860494
0.30,900,39.269909,200,35,0.01542892454,0.000396137,2.871099
0.30,900,39.269909,500,35,0.01252077367,0.000257209,2.879573
0.30,900,39.269909,1000,35,0.009922248882,0.000115712,2.881691
0.30,900,39.269909,2000,35,0.007488369972,0.000119122,2.881687
0.30,1600,52.359879,50,35,0.01360114967,0.000337947,2.880064
0.30,1600,52.359879,200,35,0.01243528062,0.000269622,2.869447
0.30,1600,52.359879,500,35,0.01074356,0.000193305,2.865206
0.30,1600,52.359879,1000,35,0.008951260257,0.000162016,2.863088
0.30,1600,52.359879,2000,35,0.0070372079,0.000116336,2.869445
0.30,1600,52.359879,3200,10,0.005833124496,6.33882e-05,2.880050
0.30,2500,65.449844,50,10,0.01098626939,0.00020839,2.887760
0.30,2500,65.449844,200,10,0.0102726018,0.000226754,2.858074
0.30,2500,65.449844,500,10,0.009469194884,0.000162626,2.917458
0.30,2500,65.449844,1000,10,0.008127611772,0.000132483,2.880340
0.30,2500,65.449844,2000,10,0.006639943747,0.000125948,2.887762
0.30,2500,65.449844,5000,10,0.004636405542,5.78707e-05,2.872904
0.50,100,7.853982,50,10,0.1377115078,0.00557323,5.487079
0.50,100,7.853982,200,10,0.08373983621,0.00209918,5.500149
0.50,100,7.853982,500,10,0.05656184722,0.00141956,5.607009
0.50,100,7.853982,1000,10,0.04045291725,0.00076339,5.580223
0.50,100,7.853982,2000,10,0.02883985114,0.000544239,5.580137
0.50,400,15.707963,50,10,0.08248606588,0.00271068,5.444078
