u,seed,t_stop,Px_stop,KE_stop,KE_left_stop,KE_right_stop,W_stop,Px_end,KE_end
0.005,9200,836.000044,18.6265446252,107.4192520068,50.00006788741,57.41918411934,7.419271858,3.804747356044,107.4192264482
0.005,9201,836.000044,-15.64504686855,107.4517399192,50.0000782277,57.45166169145,7.45175485,15.9049086513,107.4517210976
0.005,9202,836.000044,-6.977041774093,107.6053750632,50.00011246989,57.60526259334,7.605399624,6.206637122721,107.605354851
0.005,9203,836.000044,5.751879431401,107.4547874622,50.00007616975,57.45471129243,7.45480633,-1.058576266833,107.4547719287
0.005,9204,836.000044,-8.409771208839,107.3546123087,50.00007599788,57.35453631085,7.354627627,-4.03374587732,107.3545917453
0.005,9205,836.000044,-10.86947155967,107.5789158387,50.00008463196,57.57883120676,7.57893594,8.513934272753,107.5788936997
0.005,9206,836.000044,-5.720093412033,107.3874571083,50.00005780569,57.38739930261,7.387472328,-1.164101980438,107.3874392995
0.005,9207,836.000044,-5.570838068219,107.4131176943,50.00008616619,57.41303152815,7.413135994,0.0001172423955192,107.4130999321
0.005,9208,836.000044,-19.45515396592,107.3851997921,50.0000822544,57.38511753773,7.38521476,7.46617697044,107.3851785716
0.005,9209,836.000044,-14.92098709501,107.5511598428,50.0000908784,57.55106896438,7.551179035,-2.383801818444,107.5511373105
0.005,9210,836.000044,-4.11622677089,107.4492859116,50.0000668481,57.44921906348,7.449301553,-4.486897278045,107.4492663298
0.005,9211,836.000044,13.77040973002,107.3700790716,50.00007585249,57.37000321912,7.370096371,1.397137071498,107.3700573422
0.005,9212,836.000044,-0.6946361095591,107.5280496384,50.00008880238,57.52796083602,7.528070095,-4.732769974945,107.528025824
0.005,9213,836.000044,-16.68201270069,107.5238045702,50.000090108,57.5237144622,7.523822707,-16.25494172741,107.5237799782
0.005,9214,836.000044,8.427590904632,107.43700695,50.00009454798,57.43691240202,7.437028553,15.1879551093,107.4369795228
0.005,9215,836.000044,-6.471937786273,107.5016428601,50.00005607367,57.50158678645,7.501658681,-5.484890473507,107.5016250992
0.005,9216,836.000044,-0.6199066674513,107.5945037347,50.00007974541,57.59442398924,7.59452513,15.64962486633,107.5944818921
0.005,9217,836.000044,2.634012644295,107.573191541,50.00009389256,57.57309764847,7.573215681,2.877740137688,107.5731742553
0.005,9218,836.000044,14.0725931183,107.4404047197,50.00008962853,57.4403150912,7.440422117,3.741882770482,107.4403930544
0.005,9219,836.000044,4.706560771565,107.4819909809,50.00006865825,57.48192232263,7.482007512,9.734634675909,107.4819701873
0.005,9220,836.000044,-5.572237613192,107.4151847961,50.00007152323,57.41511327285,7.415198229,-7.996975653932,107.4151636959
0.005,9221,836.000044,6.582742509351,107.5817167855,50.00009101093,57.58162577456,7.581741709,-4.524605510085,107.5816966498
0.005,9222,836.000044,-23.79032923809,107.5594531112,50.00008901228,57.55936409892,7.559473056,-9.099629234901,107.5594264516
0.005,9223,836.000044,5.163649172136,107.3504125595,50.00003991129,57.35037264819,7.350424459,-3.706433662351,107.3503964948
0.005,9224,836.000044,18.70303038474,107.4371870816,50.0000880611,57.43709902047,7.43721026,-14.25407015818,107.4371687685
0.005,9225,836.000044,-2.569537082406,107.473229031,50.00008125598,57.47314777503,7.473252178,-14.57205134816,107.4732091239
0.005,9226,836.000044,8.249296125471,107.3462205573,50.00006850512,57.34615205215,7.346236009,-15.97907215338,107.346203193
0.005,9227,836.000044,-12.63628458377,107.5627489582,50.00008520319,57.56266375502,7.562764494,2.586670461077,107.5627310188
0.005,9228,836.000044,-20.78383394227,107.5176676902,50.00007581139,57.51759187886,7.517684178,-0.2057102505515,107.5176457595
0.005,9229,836.000044,12.6681980427,107.4669986051,50.00006716759,57.46693143748,7.467016916,-19.48967833539,107.4669831576
0.005,9230,836.000044,-5.143162864144,107.5147447434,50.00008236752,57.51466237586,7.514764194,7.717018614595,107.5147240776
0.005,9231,836.000044,4.970713653732,107.6497912686,50.00011419276,57.6496770758,7.649817324,-1.132081116242,107.6497682078
0.005,9232,836.000044,-6.605143129981,107.4334155272,50.00008146727,57.43333405991,7.433430977,-3.124974319929,107.4333955594
0.005,9233,836.000044,4.038676980857,107.4432314544,50.0000607668,57.44317068758,7.443246557,-4.244625257719,107.4432102074
0.005,9234,836.000044,18.39915673377,107.4550455994,50.0000976223,57.45494797714,7.455071704,7.077787220126,107.4550223831
0.005,9235,836.000044,3.443245583252,107.3846604911,50.00006917375,57.38459131738,7.384673396,20.13772046096,107.3846408595
0.005,9236,836.000044,-14.01369401208,107.4710114076,50.00006953265,57.47094187497,7.471028102,-12.02439354505,107.4709924481
0.005,9237,836.000044,-17.4278086025,107.4498041601,50.00008155274,57.44972260732,7.449820031,16.72579348905,107.4497809796
0.005,9238,836.000044,-4.306505718071,107.5850712784,50.00010635045,57.58496492798,7.585095149,5.714648534795,107.5850480588
0.005,9239,836.000044,-10.14522576126,107.6620241741,50.00012763453,57.66189653953,7.662049279,-10.30895736442,107.6619984068
0.005,9240,836.000044,11.62406453439,107.5999224201,50.00010137871,57.59982104137,7.599945489,-15.03380220925,107.5999015598
0.005,9241,836.000044,-17.87220740727,107.38982248,50.00008489708,57.38973758288,7.389837559,-8.407866947121,107.3898016651
0.005,9242,836.000044,17.37767474945,107.5856860291,50.00009923488,57.58558679421,7.585710966,-9.985640878552,107.5856644385
0.005,9243,836.000044,12.00218957415,107.4898914136,50.00007785975,57.48981355388,7.489913954,-3.27595514488,107.4898687776
0.005,9244,836.000044,-12.78704356553,107.4465612897,50.00006846656,57.4464928231,7.446575978,-12.90226701447,107.4465450618
0.005,9245,836.000044,14.7337989417,107.4573869525,50.00007736711,57.45730958541,7.457405523,-26.21316961135,107.4573720906
0.005,9246,836.000044,-3.362411140547,107.4593460044,50.00008004081,57.45926596358,7.459361442,14.80343087801,107.459324752
0.005,9247,836.000044,0.5439155977942,107.5733099901,50.00007800929,57.57323198083,7.57333283,-4.79323271494,107.5732857633
0.005,9248,836.000044,-9.014721350012,107.6094773029,50.00009852397,57.60937877889,7.609502256,10.77181913666,107.609442343
0.005,9249,836.000044,-5.128163942051,107.3361481423,50.0000568324,57.33609130991,7.336159617,-5.09632252758,107.3361296311
0.005,9250,836.000044,0.8861342681681,107.4338425737,50.00005704711,57.43378552657,7.433858441,5.724709367645,107.4338223572
0.005,9251,836.000044,12.17550886,107.3769423845,50.00006575092,57.37687663362,7.376958254,-8.373716980081,107.3769285924
0.005,9252,836.000044,12.92129429868,107.325744569,50.00006552535,57.32567904369,7.325761057,6.964161067391,107.3257265434
0.005,9253,836.000044,-23.3042504346,107.4060576113,50.00005162403,57.40600598722,7.406067315,-11.6703983667,107.4060401278
0.005,9254,836.000044,4.66058376861,107.4909925433,50.00007854734,57.49091399595,7.491009289,7.856462626097,107.4909685497
0.005,9255,836.000044,7.390057836915,107.4327210971,50.0000555539,57.43266554316,7.432737724,13.79384704044,107.4327000876
0.005,9256,836.000044,-6.928714199561,107.5376155432,50.00007175911,57.53754378413,7.537631445,-1.707097079072,107.537595181
0.005,9257,836.000044,-5.112120710241,107.6332883864,50.00009776607,57.63319062035,7.633310688,-3.898562437129,107.6332623884
0.005,9258,836.000044,-1.347031527304,107.3356915129,50.00009181687,57.33559969599,7.33570937,-13.43686831169,107.3356723471
0.005,9259,836.000044,1.746690452234,107.4637179796,50.00006994025,57.46364803934,7.463734715,-2.23699458011,107.4637006187
0.005,9260,836.000044,-8.532948135905,107.5105715662,50.00007157625,57.51049999,7.510587072,-2.901903698737,107.5105518296
0.005,9261,836.000044,4.517491183167,107.4558468021,50.00006590478,57.45578089731,7.455865823,-9.476908328896,107.4558278471
0.005,9262,836.000044,5.073563643814,107.6266187346,50.00012219212,57.62649654253,7.626647481,-10.96290108267,107.6266007991
0.005,9263,836.000044,3.293697588623,107.3274169195,50.00004510638,57.32737181309,7.327430954,-7.606690734914,107.3273999317
0.005,9264,836.000044,-21.41618012466,107.4360643217,50.00004827055,57.43601605116,7.436074071,13.9189409355,107.4360467943
0.005,9265,836.000044,-21.20518677032,107.57519005,50.00012184837,57.5750682016,7.575213887,5.518456279844,107.5751651048
0.005,9266,836.000044,14.65232849143,107.4862331757,50.00008351153,57.48614966418,7.486259364,0.01371604420964,107.4862128701
0.005,9267,836.000044,11.28886859832,107.4279422147,50.0000870555,57.42785515922,7.427965407,-22.85591413772,107.4279269789
0.005,9268,836.000044,-7.144581141404,107.4573738255,50.00009001409,57.45728381138,7.457394305,0.2686418376457,107.4573508316
0.005,9269,836.000044,-3.441686383235,107.482565011,50.00007015347,57.48249485757,7.482585915,8.55624518324,107.4825410942
0.005,9270,836.000044,-6.172099912741,107.4654717709,50.00008259505,57.46538917583,7.465487218,-11.40794130461,107.4654536091
0.005,9271,836.000044,1.951415338175,107.4228230497,50.00006183965,57.42276121004,7.422842122,-3.520565229442,107.4227999484
0.005,9272,836.000044,-5.89799868146,107.5735914798,50.00007266036,57.57351881948,7.57361205,-9.466767081198,107.5735663615
0.005,9273,836.000044,-2.287604250326,107.4514095822,50.00010212815,57.4513074541,7.45142903,-0.6222349298888,107.4513872897
0.005,9274,836.000044,-5.921762621598,107.5009150977,50.00008469279,57.5008304049,7.500932721,18.2804712641,107.5008932575
0.005,9275,836.000044,2.101198327268,107.4648592601,50.0000613288,57.46479793132,7.464877207,3.470012946235,107.4648382246
0.005,9276,836.000044,12.161283651,107.5593390549,50.00010702835,57.55923202655,7.559364387,1.908797220943,107.5593192129
0.005,9277,836.000044,-19.42707607337,107.5854584242,50.00007121314,57.5853872111,7.585479625,4.892768509397,107.585435096
0.005,9278,836.000044,3.750955528203,107.4450147665,50.00009875274,57.44491601373,7.445035737,-12.88776085061,107.444993314
0.005,9279,836.000044,5.207044313536,107.3607437228,50.00007939072,57.36066433208,7.36075948,-2.388795545017,107.3607267595
0.005,9280,836.000044,-1.610095654336,107.5027894596,50.00005040615,57.5027390535,7.502802234,-2.75332915627,107.5027648074
0.005,9281,836.000044,-8.139413961225,107.5297215794,50.00008740076,57.52963417862,7.529741046,5.675081984485,107.5297014168
0.005,9282,836.000044,-3.744812414319,107.446075759,50.00007102407,57.44600473496,7.446092904,-0.6941256507305,107.4460553509
0.005,9283,836.000044,-3.257708792318,107.381792375,50.00009078826,57.38170158676,7.381809959,-14.88114941531,107.3817755402
0.005,9284,836.000044,-7.674902414567,107.5539058304,50.00009834314,57.55380748726,7.553924305,-8.117837031906,107.5538884151
0.005,9285,836.000044,-3.363684283579,107.3822673488,50.00005604835,57.38221130042,7.382281015,-9.251767181361,107.3822472222
0.005,9286,836.000044,-7.324415479749,107.4324344189,50.0000968229,57.43233759601,7.432456196,-15.92697210197,107.4324111227
0.005,9287,836.000044,-3.759820628205,107.3724268321,50.00006730607,57.372359526,7.372441309,4.213098935408,107.3724079508
0.005,9288,836.000044,9.592192451063,107.4865095708,50.0000863386,57.48642323215,7.486530504,-28.6458120236,107.4864973412
0.005,9289,836.000044,7.333406892719,107.490055311,50.00007976367,57.48997554736,7.490076841,16.29477134707,107.4900294965
0.01,9200,418.000022,5.429967536668,107.5594148718,50.00003345014,57.55938142165,7.559424066,-1.444211354206,107.5593998951
0.01,9201,418.000022,-11.10284950578,107.7206932719,50.00002111875,57.72067215313,7.720698335,12.25010834838,107.7206745912
0.01,9202,418.000022,-15.67174031176,107.3695031892,50.00002111614,57.36948207303,7.369506959,-7.855819492768,107.3694901494
0.01,9203,418.000022,0.6215433015668,107.4279066825,50.00002249103,57.42788419148,7.427910677,7.038465829198,107.427895046
0.01,9204,418.000022,-7.676244457882,107.5983937315,50.00002971637,57.59836401509,7.598399488,-0.4349799262614,107.5983773986
0.01,9205,418.000022,9.926682699386,107.5989022588,50.00001872183,57.59888353701,7.598907495,-21.25483233549,107.5988913804
0.01,9206,418.000022,-1.446353248048,107.4193283822,50.00000891777,57.41931946442,7.419330958,-10.93442386084,107.4193164915
0.01,9207,418.000022,-10.57383553535,107.7912787795,50.00003553075,57.79124324875,7.79128735,8.571316737708,107.7912586794
0.01,9208,418.000022,9.932798247451,107.429998508,50.00001769717,57.42998081085,7.430002618,-12.4269806834,107.4299838791
0.01,9209,418.000022,-3.427875215511,107.4722466214,50.00002273377,57.4722238876,7.472251481,-13.644242544,107.4722314181
0.01,9210,418.000022,-10.7987256762,107.366173717,50.00001969155,57.36615402549,7.366177394,4.241277269486,107.3661591511
0.01,9211,418.000022,-2.334960322003,107.5346750658,50.00001631585,57.53465874992,7.534678535,7.538921386497,107.534664758
0.01,9212,418.000022,4.221988117056,107.5883903314,50.00001613738,57.58837419403,7.588395558,0.8239056692352,107.5883766942
0.01,9213,418.000022,4.922983533039,107.5813081022,50.00002144855,57.58128665369,7.581314191,1.831920559098,107.5812941934
0.01,9214,418.000022,26.40464598833,107.476278178,50.0000253246,57.47625285341,7.476285224,-6.436430640852,107.4762658791
0.01,9215,418.000022,-4.956202436758,107.4734617296,50.00001343947,57.47344829009,7.473466067,-5.80010689172,107.473445105
0.01,9216,418.000022,-18.12518916627,107.4479440785,50.00001621848,57.44792786005,7.447947589,-10.77796409923,107.447932386
0.01,9217,418.000022,-8.287667378426,107.4972538709,50.00002281244,57.49723105849,7.497258263,-1.397896737457,107.4972421003
0.01,9218,418.000022,-0.9130431211562,107.4209463742,50.00002098086,57.42092539334,7.420950338,6.632635237963,107.420931437
0.01,9219,418.000022,-15.40581639577,107.5757600558,50.00001936867,57.57574068708,7.57576474,-24.83613667388,107.575746892
0.01,9220,418.000022,-5.817915070964,107.4412999274,50.00001903847,57.44128088894,7.441303948,1.520834734446,107.4412871406
0.01,9221,418.000022,-5.388912979279,107.416466373,50.00001330638,57.41645306658,7.416470231,3.049951763018,107.4164533457
0.01,9222,418.000022,-13.5493354657,107.5522960257,50.00002862028,57.55226740546,7.552301165,-6.518703937143,107.5522831486
0.01,9223,418.000022,-2.617435613716,107.5428022898,50.00002220606,57.54278008369,7.542808072,7.24193470729,107.5427867256
0.01,9224,418.000022,1.318073737053,107.4916828512,50.00002688047,57.4916559707,7.491687501,-2.995759601694,107.4916698146
0.01,9225,418.000022,0.6610011475514,107.5507791121,50.00002830334,57.55075080881,7.550786146,-15.55492297646,107.5507666065
0.01,9226,418.000022,0.172905644593,107.4510603311,50.00002500323,57.45103532784,7.451065136,9.164839602684,107.4510477342
0.01,9227,418.000022,7.845571999689,107.5542711258,50.00002349416,57.55424763166,7.554277354,12.94264510926,107.5542533363
0.01,9228,418.000022,3.244875255478,107.5423137536,50.00002576788,57.54228798569,7.542319228,-10.1655162117,107.5423011978
0.01,9229,418.000022,-3.670513554086,107.3915565249,50.0000176786,57.39153884625,7.391560052,-4.313144199498,107.3915430519
0.01,9230,418.000022,-1.115769457119,107.3155175154,50.00002160489,57.31549591049,7.315522266,-9.235019842422,107.3155016286
0.01,9231,418.000022,-2.461051084185,107.3846070939,50.00002648191,57.384580612,7.384612689,6.813112269042,107.3845908591
0.01,9232,418.000022,-11.65516951485,107.5391948525,50.00002080025,57.5391740523,7.539198944,17.00838335306,107.5391813133
0.01,9233,418.000022,-4.589655894134,107.5388342386,50.00000534349,57.53882889512,7.538837256,-14.60586505936,107.5388262207
