KE_particles,KE_wall,KE_total,T,S_v,F
KE_particles: 8.95321250e+06, KE_wall: 1.61795762e+04, KE_total: 8.96939208e+06, T: 8.95321250e+04, S_v: 3.26894116e+00, F: nan
KE_particles: 9.24138306e+06, KE_wall: 3.43827967e+04, KE_total: 9.27576585e+06, T: 9.24138306e+04, S_v: 3.22437453e+00, F: nan
KE_particles: 8.89809927e+06, KE_wall: 4.84745694e+04, KE_total: 8.94657384e+06, T: 8.89809927e+04, S_v: 3.14412570e+00, F: nan
KE_particles: 8.33164953e+06, KE_wall: 6.07164536e+04, KE_total: 8.39236598e+06, T: 8.33164953e+04, S_v: 3.17710304e+00, F: nan
KE_particles: 7.47906511e+06, KE_wall: 8.62164874e+04, KE_total: 7.56528160e+06, T: 7.47906511e+04, S_v: 3.25064898e+00, F: nan
KE_particles: 6.39469758e+06, KE_wall: 9.10567644e+04, KE_total: 6.48575435e+06, T: 6.39469758e+04, S_v: 3.19745278e+00, F: nan
KE_particles: 5.96075448e+06, KE_wall: 1.44188004e+05, KE_total: 6.10494249e+06, T: 5.96075448e+04, S_v: 3.15414047e+00, F: nan
KE_particles: 6.01390233e+06, KE_wall: 1.59534488e+05, KE_total: 6.17343682e+06, T: 6.01390233e+04, S_v: 3.11432433e+00, F: nan
KE_particles: 5.81362790e+06, KE_wall: 3.85539124e+05, KE_total: 6.19916703e+06, T: 5.81362790e+04, S_v: 3.03185678e+00, F: nan
KE_particles: 5.83684238e+06, KE_wall: 4.85260114e+05, KE_total: 6.32210250e+06, T: 5.83684238e+04, S_v: 3.01982832e+00, F: nan
KE_particles: 6.39803463e+06, KE_wall: 5.45045348e+05, KE_total: 6.94307997e+06, T: 6.39803463e+04, S_v: 3.14613914e+00, F: nan
KE_particles: 5.87558723e+06, KE_wall: 8.58901962e+05, KE_total: 6.73448919e+06, T: 5.87558723e+04, S_v: 3.04822731e+00, F: nan
KE_particles: 5.72925476e+06, KE_wall: 4.62446797e+05, KE_total: 6.19170155e+06, T: 5.72925476e+04, S_v: 3.12105227e+00, F: nan
KE_particles: 5.23238867e+06, KE_wall: 2.34534706e+05, KE_total: 5.46692338e+06, T: 5.23238867e+04, S_v: 3.01068473e+00, F: nan
KE_particles: 5.06555658e+06, KE_wall: 9.24953766e+03, KE_total: 5.07480612e+06, T: 5.06555658e+04, S_v: 3.06135011e+00, F: nan
KE_particles: 5.02119744e+06, KE_wall: 1.08709644e+05, KE_total: 5.12990709e+06, T: 5.02119744e+04, S_v: 2.97317719e+00, F: nan
KE_particles: 5.21025485e+06, KE_wall: 5.74536288e+05, KE_total: 5.78479114e+06, T: 5.21025485e+04, S_v: 3.08102560e+00, F: nan
KE_particles: 5.52682124e+06, KE_wall: 1.06599560e+06, KE_total: 6.59281684e+06, T: 5.52682124e+04, S_v: 3.05222559e+00, F: nan
KE_particles: 6.05707117e+06, KE_wall: 1.24198757e+06, KE_total: 7.29905874e+06, T: 6.05707117e+04, S_v: 3.07353759e+00, F: nan
KE_particles: 6.27094077e+06, KE_wall: 1.12901650e+06, KE_total: 7.39995726e+06, T: 6.27094077e+04, S_v: 3.07906127e+00, F: nan
KE_particles: 6.69325754e+06, KE_wall: 6.00932859e+05, KE_total: 7.29419040e+06, T: 6.69325754e+04, S_v: 3.14218020e+00, F: nan
KE_particles: 6.75178575e+06, KE_wall: 3.22538107e+05, KE_total: 7.07432386e+06, T: 6.75178575e+04, S_v: 3.05813122e+00, F: nan
KE_particles: 7.09088628e+06, KE_wall: 6.96764922e+04, KE_total: 7.16056277e+06, T: 7.09088628e+04, S_v: 3.09110856e+00, F: nan
KE_particles: 7.11934838e+06, KE_wall: 3.40417520e+04, KE_total: 7.15339013e+06, T: 7.11934838e+04, S_v: 3.09945846e+00, F: nan
KE_particles: 7.86525051e+06, KE_wall: 1.09304830e+04, KE_total: 7.87618099e+06, T: 7.86525051e+04, S_v: 3.17185163e+00, F: nan
KE_particles: 9.13474807e+06, KE_wall: 9.72310324e+02, KE_total: 9.13572038e+06, T: 9.13474807e+04, S_v: 3.26504421e+00, F: nan
KE_particles: 9.20520528e+06, KE_wall: 2.61026510e+04, KE_total: 9.23130793e+06, T: 9.20520528e+04, S_v: 3.29236889e+00, F: nan
