variant,eta,N,L0,M,n_runs,nu_mean,nu_sem,c_s,c_s_err,c_s_point,c_s_point_err,slope_dcs_dlog10M,slope_err,t_stat
nocut,0.50,1600,31.415928,50,10,0.0351058134,0.005635,4.40447,0.70702,5.51288,0.01319,0.06643,0.05102,1.30
nocut,0.50,1600,31.415928,200,10,0.0401763841,0.0004,5.49290,0.05469,5.51288,0.01319,0.06643,0.05102,1.30
nocut,0.50,1600,31.415928,500,10,0.0347603924,0.0002644,5.49264,0.04177,5.51288,0.01319,0.06643,0.05102,1.30
nocut,0.50,1600,31.415928,1000,10,0.0290705251,8.836e-05,5.50924,0.01675,5.51288,0.01319,0.06643,0.05102,1.30
nocut,0.50,1600,31.415928,2000,10,0.0229439297,0.0001244,5.54311,0.03006,5.51288,0.01319,0.06643,0.05102,1.30
nocut,0.60,100,6.544985,50,10,0.1349973,0.04088,4.36758,1.32260,8.17988,0.08488,0.46767,0.36007,1.30
nocut,0.60,100,6.544985,200,10,0.139266621,0.01513,7.42735,0.80705,8.17988,0.08488,0.46767,0.36007,1.30
nocut,0.60,100,6.544985,500,10,0.100434603,0.001613,8.08417,0.12987,8.17988,0.08488,0.46767,0.36007,1.30
nocut,0.60,100,6.544985,1000,10,0.0730434783,0.0006641,8.18140,0.07439,8.17988,0.08488,0.46767,0.36007,1.30
nocut,0.60,100,6.544985,2000,10,0.0525379862,0.0005867,8.25410,0.09218,8.17988,0.08488,0.46767,0.36007,1.30
nocut,0.60,400,13.089969,50,10,0.0927539328,0.02405,5.04066,1.30684,8.30249,0.04792,-0.04834,0.22256,-0.22
nocut,0.60,400,13.089969,200,10,0.103556438,0.01119,7.30495,0.78944,8.30249,0.04792,-0.04834,0.22256,-0.22
nocut,0.60,400,13.089969,500,10,0.0869675456,0.0006601,8.35155,0.06339,8.30249,0.04792,-0.04834,0.22256,-0.22
nocut,0.60,400,13.089969,1000,10,0.0648450105,0.0004437,8.30328,0.05682,8.30249,0.04792,-0.04834,0.22256,-0.22
nocut,0.60,400,13.089969,2000,10,0.0471732723,0.0002925,8.27891,0.05133,8.30249,0.04792,-0.04834,0.22256,-0.22
nocut,0.60,900,19.634954,50,10,0.0650027136,0.01665,5.11386,1.30987,8.35389,0.06549,0.15705,0.21674,0.72
nocut,0.60,900,19.634954,200,10,0.0905030982,0.001269,8.20598,0.11507,8.35389,0.06549,0.15705,0.21674,0.72
nocut,0.60,900,19.634954,500,10,0.0747501086,0.0007387,8.37651,0.08278,8.35389,0.06549,0.15705,0.21674,0.72
nocut,0.60,900,19.634954,1000,10,0.0595317051,0.0005256,8.42443,0.07438,8.35389,0.06549,0.15705,0.21674,0.72
nocut,0.60,900,19.634954,2000,10,0.0444098169,0.0005048,8.32709,0.09465,8.35389,0.06549,0.15705,0.21674,0.72
nocut,0.60,1600,26.179939,50,10,0.0637599625,0.01027,6.62242,1.06671,8.34534,0.04317,-0.04172,0.13505,-0.31
nocut,0.60,1600,26.179939,200,10,0.0748709122,0.0006252,8.47418,0.07076,8.34534,0.04317,-0.04172,0.13505,-0.31
nocut,0.60,1600,26.179939,500,10,0.0625384638,0.0006327,8.18082,0.08277,8.34534,0.04317,-0.04172,0.13505,-0.31
nocut,0.60,1600,26.179939,1000,10,0.0530783292,0.0003871,8.32741,0.06074,8.34534,0.04317,-0.04172,0.13505,-0.31
nocut,0.60,1600,26.179939,2000,10,0.0417579742,0.000186,8.35178,0.03719,8.34534,0.04317,-0.04172,0.13505,-0.31
nocut,0.65,100,6.041524,50,10,0.2249955,0.05921,6.61836,1.74177,11.02875,0.08446,0.01060,0.34923,0.03
nocut,0.65,100,6.041524,200,10,0.223236807,0.004069,10.82465,0.19728,11.02875,0.08446,0.01060,0.34923,0.03
nocut,0.65,100,6.041524,500,10,0.152058281,0.002624,11.12817,0.19204,11.02875,0.08446,0.01060,0.34923,0.03
nocut,0.65,100,6.041524,1000,10,0.110163865,0.0009925,11.21881,0.10107,11.02875,0.08446,0.01060,0.34923,0.03
nocut,0.65,100,6.041524,2000,10,0.0768332803,0.0004245,10.97506,0.06064,11.02875,0.08446,0.01060,0.34923,0.03
nocut,0.65,400,12.083049,50,10,0.177111491,0.0288,8.82340,1.43466,10.44628,0.05939,-0.03000,0.25415,-0.12
nocut,0.65,400,12.083049,200,10,0.150512776,0.01634,9.73302,1.05660,10.44628,0.05939,-0.03000,0.25415,-0.12
nocut,0.65,400,12.083049,500,10,0.119849666,0.001687,10.55069,0.14853,10.44628,0.05939,-0.03000,0.25415,-0.12
nocut,0.65,400,12.083049,1000,10,0.0885847107,0.001336,10.39839,0.15688,10.44628,0.05939,-0.03000,0.25415,-0.12
nocut,0.65,400,12.083049,2000,10,0.0648237965,0.0006995,10.42907,0.11253,10.44628,0.05939,-0.03000,0.25415,-0.12
nocut,0.65,900,18.124573,50,10,0.0478144929,0.02222,3.45675,1.60655,10.30755,0.13577,0.18305,0.65079,0.28
nocut,0.65,900,18.124573,200,10,0.11171873,0.0122,9.30861,1.01680,10.30755,0.13577,0.18305,0.65079,0.28
nocut,0.65,900,18.124573,500,10,0.100403399,0.001115,10.33931,0.11479,10.30755,0.13577,0.18305,0.65079,0.28
nocut,0.65,900,18.124573,1000,10,0.0795057123,0.0007332,10.33908,0.09535,10.30755,0.13577,0.18305,0.65079,0.28
nocut,0.65,900,18.124573,2000,10,0.0596477956,0.0006661,10.27780,0.11478,10.30755,0.13577,0.18305,0.65079,0.28
nocut,0.65,1600,24.166098,50,10,0.0447386811,0.01679,4.27514,1.60404,10.21224,0.14730,-0.49817,0.55030,-0.91
nocut,0.65,1600,24.166098,200,10,0.0890925058,0.009668,9.27735,1.00676,10.21224,0.14730,-0.49817,0.55030,-0.91
nocut,0.65,1600,24.166098,500,10,0.0869127094,0.0008605,10.45999,0.10356,10.21224,0.14730,-0.49817,0.55030,-0.91
nocut,0.65,1600,24.166098,1000,10,0.0714210692,0.0009394,10.30901,0.13560,10.21224,0.14730,-0.49817,0.55030,-0.91
nocut,0.65,1600,24.166098,2000,10,0.0545361948,0.0004562,10.03512,0.08395,10.21224,0.14730,-0.49817,0.55030,-0.91
