L0,eta,cs,cs_err,intercept,intercept_err,fit_r2,n_points,n_points_used,cs_SPT,cs_Henderson,cs_Kolafa_Rottner_2006,rel_err_SPT,rel_err_Henderson,rel_err_Kolafa_Rottner_2006,N_total,N_side,L_eff,analysis_L0,analysis_eta,analysis_dir
5.1671,0.7599989969203697,37.452958909112006,0.09524616312366291,-0.0013903971962375848,0.001386582855771094,0.9999676645676531,9,7,20.705465125348667,22.034265233933496,nan,0.8088441231518253,0.6997598291334541,nan,100,50,4.1671,5.1671,0.759999,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p759999_L0_5p1671
5.236,0.7499982461778536,27.810230578716382,0.0709900777648927,0.0013447764200493217,0.0012446894886756345,0.9999543895501483,9,9,19.183074496136612,20.380860965124388,nan,0.4497274972433247,0.36452677962452573,nan,100,50,4.236,5.236,0.749998,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p749998_L0_5p236
5.3067,0.7400061840667913,22.69583445027655,0.024418698974792492,0.00080118011181014,0.00044716586617231445,0.9999918969736128,9,9,17.82853735513772,18.911522898515614,nan,0.2730059678023,0.20010612429620722,nan,100,50,4.3067,5.3067,0.740006,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p740006_L0_5p3067
5.3794,0.7300053569147565,18.520924634655223,0.02595405509446246,0.00044702400667255435,0.00043874689133877964,0.999986253973224,9,9,16.615690957025095,17.59744428814091,nan,0.11466472760945279,0.0524780946251755,nan,100,50,4.3794,5.3794,0.730005,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p730005_L0_5p3794
5.4165,0.7250052279123496,17.763497673461455,0.024725156633096622,0.0019199560552380958,0.0004098903301330727,0.9999864383264397,9,9,16.056614756063258,16.99224177121177,nan,0.10630403377858011,0.045388708131280486,nan,100,50,4.4165,5.4165,0.725005,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p725005_L0_5p4165
5.4542,0.7199939160623449,16.556665701062013,0.07158420950609971,-2.8430650958095252e-05,0.0010667268494804183,0.9998691631975853,9,9,15.525008019776818,16.417110174022195,nan,0.06645134611015968,0.008500614636834491,nan,100,50,4.4542,5.4542,0.719994,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p719994_L0_5p4542
5.4923,0.7149993294225081,16.11424321353377,0.13796613428025828,-0.0031168698696575135,0.0017265332366548382,0.9994871381282435,9,9,15.021832317744435,15.873052208104808,nan,0.07272154772350437,0.015194998558992312,nan,100,50,4.4923,5.4923,0.714999,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p714999_L0_5p4923
5.531,0.7099965317279411,15.985110553480398,0.38706040334710845,0.004275528624740281,0.005095766422035566,0.9959126156749806,9,9,14.542718990852057,15.355309106750934,nan,0.09918307322968034,0.041015224268756256,nan,100,50,4.531,5.531,0.709997,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p709997_L0_5p531
5.5702,0.7049999671443111,17.17572474736668,0.42854770602975467,0.012005928390620901,0.005812865682619732,0.9956611184516821,9,9,14.087429523178361,14.86359154279463,nan,0.21922347289170663,0.15555683146398724,nan,100,50,4.5702,5.5702,0.705,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p705000_L0_5p5702
5.61,0.6999983630993301,19.30107667648934,0.09632504340221694,0.0008117201458107032,0.0011983283702206246,0.9998256838266596,9,9,13.653423284348907,14.395125956208156,nan,0.41364376351053367,0.34080637676986814,nan,100,50,4.61,5.61,0.699998,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_speed_of_sound/EDMD/mode1_normalized_units/00_eta_sweep_ROMAN/campaign_r25_psi6_20260823/analysis/analysis/eta_0p699998_L0_5p61
