eta,L0,M,rms_full,rms_2nd_half,sd_traj,ZetaZp,Z2,r_iso_L0,r_iso_Leff,r_adi_L0,r_adi_Leff,used,disc
0.006545,600,50,56.994594817434674,58.19163076170625,51.49935816124098,1.026586809422735,1.0266253031030543,0.9826686873279887,0.984309202665765,1.389716412221497,1.392036473009847,25,0
0.006545,600,200,49.470329906759986,50.69609682022907,44.14533837522636,1.026586809422735,1.0266253031030543,0.8560933292794082,0.8575225335019114,1.2107101461917618,1.212731365133651,25,0
0.006545,600,1000,44.06594329573112,45.82373545273656,41.68161456502323,1.026586809422735,1.0266253031030543,0.7738148832810839,0.775106727827463,1.0943497612008979,1.0961767224049062,25,0
0.009817,400,50,38.44693590835682,39.796197906646974,35.24235718274151,1.040188738721374,1.040276658093864,1.0147000095791272,1.0172431173725585,1.4350328374734118,1.438629411000914,25,0
0.009817,400,200,32.53275924347497,32.327734697881446,29.91715474910013,1.040188738721374,1.040276658093864,0.8242735344858876,0.8263393829432457,1.1657234432649142,1.1686450559046757,25,0
0.009817,400,1000,28.91499591628756,30.342127456284423,27.04098624741052,1.040188738721374,1.040276658093864,0.7736456907960169,0.7755846524270846,1.0941233471778251,1.0968655109552132,25,0
0.013090,300,50,27.937429821935464,28.135453590065275,26.042243186686537,1.054006938653025,1.054165640891412,0.9628406143705275,0.9660608170941747,1.361713510786801,1.3662677365753857,25,0
0.013090,300,200,26.922320295457492,28.946200843382403,23.44613128295345,1.054006938653025,1.054165640891412,0.9905856934034357,0.9938986890335475,1.4009524548166585,1.4056379145317643,25,0
0.013090,300,1000,21.01520100587485,21.363885190213008,20.05597640597162,1.054006938653025,1.054165640891412,0.7311066187733134,0.7335517914113513,1.0339798152990647,1.0374379417716368,25,0
0.019635,199.9995,50,18.119589616972544,18.427385412274575,16.466556218014304,1.082290871925822,1.0826589764795336,0.9585324216857067,0.9633491796257302,1.3556848085805764,1.3624973121726989,25,0
0.019635,199.9995,200,15.972713110319201,16.918763102837566,14.589817315596184,1.082290871925822,1.0826589764795336,0.8800588149682552,0.8844812321852243,1.2446969336850326,1.2509517078612746,25,0
0.019635,199.9995,1000,14.199976730027185,15.036671348344441,13.317770824905738,1.082290871925822,1.0826589764795336,0.7821585471382183,0.7860890019742265,1.106233275231267,1.111792250380608,25,0
0.026180,149.9996,50,13.203937732150825,13.783822492244083,12.232154060756411,1.1114703853240329,1.112145110868283,0.9687874819587516,0.9752894288227617,1.370280308174609,1.3794768449986987,25,0
0.026180,149.9996,200,12.465571797316024,13.550213988176202,10.833971220753883,1.1114703853240329,1.112145110868283,0.9523684520019006,0.9587602037381596,1.347056769629589,1.3560974433604553,25,0
0.026180,149.9996,1000,10.350276863140852,10.991192727050237,9.920337002810236,1.1114703853240329,1.112145110868283,0.7725092173636059,0.7776938569019912,1.092658800975092,1.099992101205261,25,0
0.039270,99.9998,50,8.246157307695656,8.227782321898028,7.7712862893076275,1.1726500970613023,1.174264785928578,0.8909798529669664,0.899979667643026,1.2604694710400755,1.27320151162036,25,0
0.039270,99.9998,200,7.172918559719777,7.210450000778611,6.429583458499417,1.1726500970613023,1.174264785928578,0.7808137636822389,0.7887007873295819,1.104617470767716,1.1157752455386523,25,0
0.039270,99.9998,1000,6.807303608358467,7.264102189393246,6.44295448479258,1.1726500970613023,1.174264785928578,0.7866237155323258,0.7945694256805516,1.1128368114305391,1.124077610012259,25,0
0.052360,74.9998,50,6.368883217261177,6.659473525246351,5.903933001978511,1.237828599328316,1.2408838578071613,0.9878933176058858,1.0012432633841972,1.3979539519054787,1.4168452725834464,25,0
