eta_target,eta_actual,radius_sigma,cfg,seed,ratio_win,W_in_max,W_out_peak_win,piston_stop_t_rel,peak_t,peak_margin,peak_margin_frac,peak_near_end,wall_move_left_sigma,warnings,trace_csv,summary_csv
0.05,0.05,0.178412,1wall,1771533066,0.276665349,9366.25236,2591.31748,1.44,2.218,4.222,0.8444,0,1.1383,,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_energy_transfer/unified_debug_20260219_103106/eta_0.050/1wall/seed_1771533066/energy_transfer_trace.csv,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_energy_transfer/unified_debug_20260219_103106/eta_0.050/1wall/seed_1771533066/energy_transfer_runs.csv
0.05,0.05,0.178412,2walls,1772533066,0.800324774,70436.4922,56372.0698,1.44,2.15,4.29,0.858,0,5.309053,,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_energy_transfer/unified_debug_20260219_103106/eta_0.050/2walls/seed_1772533066/energy_transfer_trace.csv,/Users/chrisharing/Desktop/CCS_complex_coupled_systems/Repo/HardDisks/hspist3/experiments_energy_transfer/unified_debug_20260219_103106/eta_0.050/2walls/seed_1772533066/energy_transfer_runs.csv
