L0,hold,M,n_used,nu_mean,nu_sd,nu_median,drift_fraction_bins_1_3
20.0,2000,100,25,0.004521795891820543,0.00722500740266766,7.780103048555649e-05,0.68
20.0,2000,200,25,0.00874799866461304,0.00553140650897657,0.012110614034614218,0.28
20.0,2000,500,25,0.007743920263877336,0.00160601608242,0.008063321746657557,0.04
20.0,2000,1000,25,0.005777674760780397,4.6646493043366524e-05,0.005766423203310523,0.0
20.0,2000,2000,25,0.004126324509560593,2.3358180253067886e-05,0.004131137485271589,0.0
20.0,20000,100,25,0.007076781732966217,0.008040260032101024,0.00015560206097111297,0.56
20.0,20000,200,25,0.008263574103228472,0.005745070327873816,0.01205153786859171,0.32
20.0,20000,500,25,0.007075369120999125,0.0026525320124660477,0.00802417940808155,0.12
20.0,20000,1000,25,0.005774299293539436,2.7560574612792312e-05,0.005766423203310523,0.0
20.0,20000,2000,25,0.004111885582427605,2.6830510979418367e-05,0.0041110834198091065,0.0
20.0,200000,100,25,0.0051597643418021056,0.007550098642318009,7.780103048555649e-05,0.68
20.0,200000,200,25,0.008275389336432973,0.005748855682351235,0.01205153786859171,0.32
20.0,200000,500,25,0.00709259174997257,0.0026589194008335053,0.008063321746657557,0.12
20.0,200000,1000,25,0.005554893922876888,0.0011518864960900674,0.005766423203310523,0.04
20.0,200000,2000,25,0.004114292070283103,2.6955130837058075e-05,0.0041110834198091065,0.0
7.5,2000,100,25,0.005745200279143884,0.02489955042462423,0.0005745200279143885,0.92
7.5,2000,200,25,0.031427179133739276,0.045960613530233854,0.00043624624005745796,0.68
7.5,2000,500,25,0.04433974469633432,0.030779954450317868,0.06445738635777414,0.32
7.5,2000,1000,25,0.03723126506783898,0.018898789818790496,0.04652869546527522,0.2
7.5,2000,2000,25,0.033124527476053614,0.0002554980793457241,0.03317191592737844,0.0
7.5,20000,100,25,0.0158797335715537,0.04168896684643269,0.0005745200279143885,0.88
7.5,20000,200,25,0.031427179133739276,0.046115285819987875,0.00043624624005745796,0.68
7.5,20000,500,25,0.03628112616873457,0.03256492930108569,0.06359024663098795,0.44
7.5,20000,1000,25,0.033508969430616965,0.021201400408074566,0.046320978074805244,0.28
7.5,20000,2000,25,0.03319561015304085,0.0003246717788716909,0.03302382701698836,0.0
7.5,200000,100,25,0.016201464787185756,0.04290764663516907,0.0005745200279143885,0.88
7.5,200000,200,25,0.03149697853214847,0.04618358959734917,0.00043624624005745796,0.68
7.5,200000,500,25,0.046871792698550026,0.02965647915782802,0.06474643293336954,0.28
7.5,200000,1000,25,0.04097017809629859,0.015369248205201554,0.04652869546527522,0.12
7.5,200000,2000,25,0.0318331921774521,0.0066073326643339226,0.03317191592737844,0.04
