eta,L0,KR,2_25,3_25,4_25,8_25,16_25,w3_25,d2_25,d3_25,d4_25,d8_25,d16_25,2_200,3_200,4_200,8_200,16_200,w3_200,d2_200,d3_200,d4_200,d8_200,d16_200,drift_edge_0.1_median,drift_edge_0.1_worst,drift_edge_0.01_median,drift_edge_0.01_worst,res_edge_0.1_median,res_edge_0.1_worst,res_edge_0.01_median,res_edge_0.01_worst,maxabove_k2_worst,maxabove_k3_worst,maxabove_k4_worst,maxabove_k8_worst,maxabove_k16_worst
0.006545,600,1.432903385622564,1.4293814822355568,1.4293814822355568,1.4293814822355568,1.4293814822355568,1.4293814822355568,1.4293814822355568,0.0,0.0,0.0,0.0,0.0,1.142924036327508,1.2841851297124751,1.4013862448101382,1.4430320740062574,1.4430320740062574,1.4430320740062574,-20.797045546296577,-11.007859572572016,-2.8859947014551715,0.0,0.0,0.009900990099009901,0.04477611940298507,0.034653465346534656,0.3034825870646766,0.9603960396039604,0.9104477611940298,0.8811881188118812,0.5074626865671642,1.2872800676512068,1.0982794575990942,0.5505762611598791,0.14824253864731876,0.04916316036379245
0.009817,400,1.4423818484782942,1.4243036300046505,1.44550619045634,1.44550619045634,1.44550619045634,1.44550619045634,1.44550619045634,-1.4667913974824203,0.0,0.0,0.0,0.0,1.1236339445638404,1.285125133172042,1.348059473410313,1.4539759515853465,1.4539759515853465,1.4539759515853465,-22.719908583172707,-11.613040657873169,-7.284610041833715,0.0,0.0,0.004975124378109453,0.06403940886699508,0.029850746268656716,0.458128078817734,0.9702970297029703,0.8916256157635468,0.8955223880597015,0.5073891625615764,1.924704664440686,1.3447682319201137,1.0907652912728254,0.1729152400895181,0.06801522239684134
0.013090,300,1.4519547443190208,1.4530877109279796,1.4530877109279796,1.4530877109279796,1.4530877109279796,1.4530877109279796,1.4530877109279796,0.0,0.0,0.0,0.0,0.0,1.0247638117022537,1.2942246781218765,1.4054392806520903,1.4601567191202025,1.4601567191202025,1.4601567191202025,-29.81823127042752,-11.363988455862884,-3.747367508679576,0.0,0.0,0.009900990099009901,0.04975124378109453,0.039603960396039604,0.4925373134328358,0.9651741293532339,0.8905472636815921,0.8663366336633663,0.5323383084577115,3.869776444606808,1.1589884693147396,0.6531182664813814,0.2673286797346512,0.053726752278784574
0.019635,199.9995,1.4713768546550845,1.4746625696808242,1.4746625696808242,1.4746625696808242,1.4746625696808242,1.4746625696808242,1.4746625696808242,0.0,0.0,0.0,0.0,0.0,1.0732266162579758,1.2712541720697978,1.3717556629641439,1.4568440963425868,1.477629057167855,1.477629057167855,-27.368333002667804,-13.966623361725992,-7.165086101286933,-1.40664267019128,0.0,0.004975124378109453,0.06403940886699508,0.0297029702970297,0.4876847290640394,0.9603960396039604,0.8768472906403941,0.8712871287128713,0.5123152709359606,2.4143604138462,1.5358477512726154,1.041940558756326,0.30041172544159733,0.08955546308069642
0.026180,149.9996,1.4911792300743643,1.478461577986768,1.4986283018532147,1.4986283018532147,1.4986283018532147,1.4986283018532147,1.4986283018532147,-1.3456788345387827,0.0,0.0,0.0,0.0,1.124829117072045,1.3889102237282476,1.4824028548686217,1.5040146373683412,1.5040146373683412,1.5040146373683412,-25.211557844927516,-7.653144509384447,-1.4369396389342899,0.0,0.0,0.009950248756218905,0.05527638190954774,0.03980099502487562,0.3165829145728643,0.9701492537313433,0.9095477386934674,0.8706467661691543,0.49748743718592964,1.7512648193455633,0.8688542978303939,0.6030370330178493,0.23212238650843645,0.03961079720106015
0.039270,99.9998,1.5319643869916062,1.5467512973326594,1.5467512973326594,1.5467512973326594,1.5467512973326594,1.5467512973326594,1.5467512973326594,0.0,0.0,0.0,0.0,0.0,1.1678605367436556,1.3583693028107227,1.49837772888285,1.5431128480665095,1.5431128480665095,1.5431128480665095,-24.317878747042883,-11.972134473980105,-2.8990179972716716,0.0,0.0,0.004975124378109453,0.06435643564356436,0.024752475247524754,0.49504950495049505,0.9653465346534653,0.8910891089108911,0.8762376237623762,0.5148514851485149,1.7454443983695151,1.4578646612049866,0.8125885947907302,0.209641280358952,0.06676498682832165
0.052360,74.9998,1.5743927264709026,1.574222183328592,1.574222183328592,1.574222183328592,1.574222183328592,1.574222183328592,1.574222183328592,0.0,0.0,0.0,0.0,0.0,1.1688925611125742,1.366035728890485,1.5043828182690924,1.5879397223201868,1.5879397223201868,1.5879397223201868,-26.389361971204426,-13.9743335537618,-5.261969511601288,0.0,0.0,0.0049504950495049506,0.03980099502487562,0.029556650246305417,0.23880597014925373,0.9704433497536946,0.9203980099502488,0.8866995073891626,0.6119402985074627,1.4450760991235325,1.123757460785416,0.7111353176209672,0.12061188059007848,0.03831012356625032
0.078540,49.9999,1.6645372848202054,1.6733678941879895,1.6733678941879895,1.6733678941879895,1.6733678941879895,1.6733678941879895,1.6733678941879895,0.0,0.0,0.0,0.0,0.0,1.171599430061226,1.4698419915038412,1.6555424620360992,1.679513639726151,1.679513639726151,1.679513639726151,-30.241743660250457,-12.484069391451758,-1.4272690094949338,0.0,0.0,0.0049504950495049506,0.05392156862745098,0.029556650246305417,0.49019607843137253,0.9753694581280788,0.8970588235294118,0.8916256157635468,0.5294117647058824,1.855616409864711,1.7875090424557607,0.5634526726652471,0.19991026194595818,0.04777343007001512
0.112200,34.9999,1.7918899442794236,1.7990427646285567,1.7990427646285567,1.7990427646285567,1.7990427646285567,1.7990427646285567,1.7990427646285567,0.0,0.0,0.0,0.0,0.0,1.412487385892398,1.6138556183578383,1.7363748336938634,1.8128823347109566,1.8128823347109566,1.8128823347109566,-22.086096882972658,-10.978468516262025,-4.220213278722885,0.0,0.0,0.0049261083743842365,0.04975124378109453,0.024630541871921183,0.44776119402985076,0.9753694581280788,0.9154228855721394,0.896551724137931,0.6069651741293532,2.0370138085417975,1.2875390887950542,0.7920725492815776,0.24776020934372217,0.04833013221901619
0.130900,29.9999,1.868853635533792,1.86040080220742,1.8855760121396954,1.8855760121396954,1.8855760121396954,1.8855760121396954,1.8855760121396954,-1.335146913738429,0.0,0.0,0.0,0.0,1.4779926754821828,1.7038625434255528,1.8430034424786712,1.8984680725146093,1.8984680725146093,1.8984680725146093,-22.14814160532535,-10.250661146557624,-2.9215466321997483,0.0,0.0,0.00980392156862745,0.049019607843137254,0.029411764705882353,0.4803921568627451,0.9705882352941176,0.8970588235294118,0.8768472906403941,0.5980392156862745,2.496016584482538,1.308561468917193,0.6932693874635276,0.2645908130491154,0.0530889363084292
