eta,slope_dcs_dinvsqrtN,slope_err,c_s_infinite_N,c_s_inf_err,n_N
0.10,0.205073,0.0433563,1.74534,0.00352148,4
0.30,0.674545,0.0361569,2.85044,0.00297618,4
0.50,0.704644,0.145342,5.48248,0.00402028,4
0.60,-2.59431,0.216093,8.41311,0.0149885,4
0.65,nan,nan,nan,nan,1
