eta,N_values,c_inf,c_inf_err,slope,slope_err,chi2,dof,KR,dev_KR_pct,dev_KR_sigma
0.02,100 400 900 1600,1.47394,0.00487,0.07678,0.06211,0.553,2,1.47247,+0.100,+0.30
0.05,100 400 900 1600,1.55630,0.00779,0.33873,0.18544,2.766,2,1.56662,-0.659,-1.33
0.10,100 400 900 1600 2500,1.75361,0.00493,-0.01399,0.13503,2.143,3,1.74414,+0.543,+1.92
0.30,100 400 900 1600 2500,2.86354,0.00803,0.46011,0.18528,1.999,3,2.85150,+0.422,+1.50
0.50,100 400 900 1600,5.43030,0.02368,0.99980,0.40674,0.385,2,5.41622,+0.260,+0.59
0.60,100 400 900 1600,8.20534,0.04708,1.36046,1.02568,0.673,2,8.22261,-0.210,-0.37
0.65,100 400 900 1600,10.16323,0.06872,6.43163,1.53622,0.598,2,10.43875,-2.639,-4.01
