eta,L0,KR,lit_25,lit_25_scatter,fit_25,fit_25_scatter,w1.5_25,w1.5_25_scatter,w3.0_25,w3.0_25_scatter,w5.0_25,w5.0_25_scatter,fit_25_failed,fit_25_used,lit_100,lit_100_scatter,fit_100,fit_100_scatter,w1.5_100,w1.5_100_scatter,w3.0_100,w3.0_100_scatter,w5.0_100,w5.0_100_scatter,fit_100_failed,fit_100_used,lit_200,lit_200_scatter,fit_200,fit_200_scatter,w1.5_200,w1.5_200_scatter,w3.0_200,w3.0_200_scatter,w5.0_200,w5.0_200_scatter,fit_200_failed,fit_200_used
0.006545,600,1.432903385622564,1.3749307446685934,0.042656822130060015,1.4456079675935045,0.00539253454204228,1.4293814822355568,0.00694418107582506,1.4293814822355568,0.00694418107582506,1.4293814822355568,0.00694418107582506,0,224,1.1204553627266838,0.2226066917645044,1.4438874873329897,0.0023052338924297406,1.4424791007227629,0.0036350728544604165,1.4424791007227629,0.0036350728544604165,1.4424791007227629,0.0036350728544604165,0,224,0.7316223126658937,0.4708984919290159,1.4444196965192764,0.002215306266996708,1.4430320740062574,0.002508857955241365,1.4430320740062574,0.002508857955241365,1.4430320740062574,0.002508857955241365,0,224
0.009817,400,1.4423818484782942,1.3649364607399195,0.07368221753558941,1.4591848395241742,0.005607649203204895,1.44550619045634,0.005319391551023749,1.44550619045634,0.005319391551023749,1.44550619045634,0.005319391551023749,0,224,1.0459218484081356,0.29462351130289655,1.4547227961514122,0.002902613669701216,1.4481753260359123,0.005557332189535985,1.4481753260359123,0.005557332189535985,1.4481753260359123,0.005557332189535985,0,224,0.7669432458669326,0.44510743725389307,1.4551139658698478,0.002652467052279009,1.4539759515853465,0.003956636000775163,1.4539759515853465,0.003956636000775163,1.4539759515853465,0.003956636000775163,0,224
0.013090,300,1.4519547443190208,1.2313264708577145,0.17047389341217498,1.4617555217038536,0.004459577013780243,1.4530877109279796,0.0059786013490434175,1.4530877109279796,0.0059786013490434175,1.4530877109279796,0.0059786013490434175,0,225,0.9041062690576753,0.3468229651013455,1.464124430491951,0.00234733755448076,1.4582202126637467,0.002841122315896133,1.4582202126637467,0.002841122315896133,1.4582202126637467,0.002841122315896133,0,225,0.6792001171042841,0.4801625460109729,1.464683804380895,0.0023239492435660645,1.4601567191202025,0.0023340956218276263,1.4601567191202025,0.0023340956218276263,1.4601567191202025,0.0023340956218276263,0,225
0.019635,199.9995,1.4713768546550845,1.4348495956655898,0.03988470467448917,1.4812942322883318,0.004925581552623025,1.4746625696808242,0.008494288255196778,1.4746625696808242,0.008494288255196778,1.4746625696808242,0.008494288255196778,0,225,1.0436359034981508,0.3048503145048214,1.4836429698463487,0.002154587349824064,1.47761509187261,0.0033307175303302567,1.47761509187261,0.0033307175303302567,1.47761509187261,0.0033307175303302567,0,225,0.7338640699883668,0.43501107187017657,1.4855492381237754,0.0022932995824767786,1.477629057167855,0.003439189450209841,1.477629057167855,0.003439189450209841,1.477629057167855,0.003439189450209841,0,225
0.026180,149.9996,1.4911792300743643,1.4363745020915746,0.056904847456442344,1.511000004357757,0.006579862814003084,1.4986283018532147,0.00907677251183244,1.4986283018532147,0.00907677251183244,1.4986283018532147,0.00907677251183244,0,225,1.117385168929255,0.2662058647713315,1.5054421608523818,0.0027947756816271486,1.5014854009564578,0.0020184496871522256,1.5014854009564578,0.0020184496871522256,1.5014854009564578,0.0020184496871522256,0,225,0.8184178754481791,0.4301273407625903,1.5063817243103776,0.002843342388616111,1.5040146373683412,0.0027853519791100115,1.5040146373683412,0.0027853519791100115,1.5040146373683412,0.0027853519791100115,0,225
0.039270,99.9998,1.5319643869916062,1.5044221906063442,0.032038085467601084,1.555728792140412,0.0068975736273635905,1.5467512973326594,0.009968823303245087,1.5467512973326594,0.009968823303245087,1.5467512973326594,0.009968823303245087,0,225,1.138654114805956,0.2807614723791948,1.5494753118635476,0.0037192061142949638,1.5426208189019057,0.003418066498455251,1.5426208189019057,0.003418066498455251,1.5426208189019057,0.003418066498455251,0,225,0.8170974047585077,0.47207384325777196,1.5478254224371533,0.002324701436322922,1.5431128480665095,0.00435703901959927,1.5431128480665095,0.00435703901959927,1.5431128480665095,0.00435703901959927,0,225
0.052360,74.9998,1.5743927264709026,1.5306988462055493,0.04381701782001283,1.5909676945665943,0.0036281273862635694,1.574222183328592,0.007575956367647577,1.574222183328592,0.007575956367647577,1.574222183328592,0.007575956367647577,0,225,1.1985014644349874,0.2723170398240542,1.5952950313465697,0.004055474529424143,1.588116920514119,0.0038855521503004865,1.588116920514119,0.0038855521503004865,1.588116920514119,0.0038855521503004865,0,225,0.8553611547348359,0.48921595090530634,1.5949512771863479,0.0034010449521400137,1.5879397223201868,0.0026515652287641216,1.5879397223201868,0.0026515652287641216,1.5879397223201868,0.0026515652287641216,0,225
0.078540,49.9999,1.6645372848202054,1.6223339385337814,0.04892499722231919,1.6837878101529518,0.0031198313103305533,1.6733678941879895,0.007535621978093318,1.6733678941879895,0.007535621978093318,1.6733678941879895,0.007535621978093318,0,225,1.342112492494206,0.23478376324878686,1.6869547948373715,0.0032140989253811904,1.6800693271598213,0.0037689420587619393,1.6800693271598213,0.0037689420587619393,1.6800693271598213,0.0037689420587619393,0,225,0.7653129909032265,0.5675358706767653,1.687728670729752,0.0027509298383031084,1.679513639726151,0.005256054850491635,1.679513639726151,0.005256054850491635,1.679513639726151,0.005256054850491635,0,225
0.112200,34.9999,1.7918899442794236,1.7173190885091147,0.06662674657637153,1.8182280336525594,0.006354767339589493,1.7990427646285567,0.013719255513582653,1.7990427646285567,0.013719255513582653,1.7990427646285567,0.013719255513582653,0,225,1.265681247822068,0.3931607802125564,1.8232080411275478,0.005177701312644049,1.8148322065010676,0.004216077639459675,1.8148322065010676,0.004216077639459675,1.8148322065010676,0.004216077639459675,0,225,0.8349140544487889,0.587842800664982,1.8215896375899705,0.0030665385355222257,1.8128823347109566,0.004537182364240528,1.8128823347109566,0.004537182364240528,1.8128823347109566,0.004537182364240528,0,225
0.130900,29.9999,1.868853635533792,1.776114942794681,0.08503300899848673,1.9029860135111762,0.007361870746278187,1.8855760121396954,0.007869431117355717,1.8855760121396954,0.007869431117355717,1.8855760121396954,0.007869431117355717,0,225,1.2911907040495494,0.4132476005651082,1.9052167166722218,0.004726087725498645,1.8973660518677606,0.0027171610676073794,1.8973660518677606,0.0027171610676073794,1.8973660518677606,0.0027171610676073794,0,225,0.905867239226272,0.6141645496606317,1.9055718553526204,0.004261622276145576,1.8984680725146093,0.004002444142249,1.8984680725146093,0.004002444142249,1.8984680725146093,0.004002444142249,0,225
