eta,L0,c_s,c_s_err,c_s_scatter_mass
0.006545,600,1.44362,0,0.00238
0.009817,400,1.45680,0,0.00336
0.013090,300,1.46332,0,0.00180
0.019635,199.9995,1.48324,0,0.00157
0.026180,149.9996,1.50641,0,0.00286
0.039270,99.9998,1.55071,0,0.00456
0.052360,74.9998,1.59270,0,0.00288
0.078540,49.9999,1.68637,0,0.00367
0.112200,34.9999,1.82110,0,0.00391
0.130900,29.9999,1.90302,0,0.00336
0.157080,24.9999,2.02426,0,0.00398
0.196350,20.0000,2.22471,0,0.00486
0.261799,15.0000,2.62946,0,0.00661
0.392699,10.0000,3.83846,0,0.00889
0.523599,7.5000,6.12881,0,0.01159
0.549999,7.1400,6.81668,0,0.01472
0.569996,6.8895,7.35302,0,0.03751
0.590001,6.6559,7.91323,0,0.03285
0.609999,6.4377,8.60724,0,0.06866
0.630002,6.2333,9.45359,0,0.06987
0.650003,6.0415,11.08350,0,0.06828
0.669998,5.8612,13.14994,0,0.06671
0.679998,5.7750,14.71261,0,0.07337
0.689999,5.6913,16.76156,0,0.04756
0.695006,5.6503,18.08270,0,0.06436
0.699998,5.6100,19.60713,0,0.16257
0.705000,5.5702,17.77125,0,0.52382
0.709997,5.5310,15.94820,0,0.34483
0.714999,5.4923,15.93102,0,0.22976
0.719994,5.4542,16.79282,0,0.07149
0.725005,5.4165,18.09832,0,0.02209
0.730005,5.3794,18.77161,0,0.02188
0.740006,5.3067,22.96924,0,0.02634
0.749998,5.2360,28.18192,0,0.02461
0.759999,5.1671,37.76160,0,0.04591
