eta,L0,c_s,c_s_err,c_s_scatter_mass
0.006545,600,1.44652,0,0.00409
0.009817,400,1.45880,0,0.00423
0.013090,300,1.46443,0,0.00319
0.019635,199.9995,1.48204,0,0.00580
0.026180,149.9996,1.51029,0,0.00439
0.039270,99.9998,1.55539,0,0.00532
0.052360,74.9998,1.59152,0,0.00404
0.078540,49.9999,1.68468,0,0.00356
0.112200,34.9999,1.81892,0,0.00517
0.130900,29.9999,1.90375,0,0.00450
0.157080,24.9999,2.02558,0,0.00841
0.196350,20.0000,2.22767,0,0.00977
0.261799,15.0000,2.63299,0,0.00971
0.392699,10.0000,3.83404,0,0.01131
0.523599,7.5000,6.11942,0,0.01696
0.549999,7.1400,6.85244,0,0.03409
0.569996,6.8895,7.37769,0,0.04419
0.590001,6.6559,7.95112,0,0.05438
0.609999,6.4377,8.69010,0,0.10720
0.630002,6.2333,9.57366,0,0.12410
0.650003,6.0415,11.13709,0,0.09616
0.669998,5.8612,13.16527,0,0.08042
0.679998,5.7750,14.80576,0,0.10386
0.689999,5.6913,16.89735,0,0.10160
0.695006,5.6503,18.27059,0,0.12592
0.699998,5.6100,19.68196,0,0.23439
0.705000,5.5702,17.51621,0,0.34780
0.709997,5.5310,15.36465,0,0.37320
0.714999,5.4923,15.80465,0,0.16292
0.719994,5.4542,16.79812,0,0.04847
0.725005,5.4165,18.05450,0,0.03935
0.730005,5.3794,18.77585,0,0.04271
0.740006,5.3067,22.94758,0,0.06423
0.749998,5.2360,28.15001,0,0.05524
0.759999,5.1671,37.73073,0,0.04719
