L0,hold,record_length,roman_mean,roman_mean_scatter,roman_median,parabolic,n_masses,trajectories_used,trajectories_discarded,paired_delta_cs_vs_hold_2000,paired_delta_err
20.0,2000,200,1.2468797648769496,0.6841123000394747,1.1282487576116154,1.246918285301184,5,125,0,0.0,0.0
20.0,20000,200,1.3732495226793613,0.5284697113521734,1.1288020042524918,1.3729868823539781,5,125,0,0.014509429374844696,0.09125211781232552
20.0,200000,200,1.237827049155237,0.616570108191508,1.1248238379321052,1.237443835958825,5,125,0,-0.05389230337706189,0.044942908294791604
7.5,2000,200,1.7311718538423797,2.341360607666139,1.3749907794386742,1.730731706839811,5,125,0,0.0,0.0
7.5,20000,200,1.8424849594243127,2.085748472693664,1.362120090959966,1.8429232199283945,5,125,0,-0.15098342645561086,0.21617880565528164
7.5,200000,200,2.0310097692143443,2.213782241532766,1.378396698175246,2.0311607062396853,5,125,0,0.19854701726863597,0.14211388324123642
